ISO3,latitude,longitude
AFG,34.28,69.11
ALB,41.18,19.49
DZA,36.42,03.08
ASM,-14.16,-170.43
AND,42.31,01.32
AGO,-8.5,13.15
ATG,17.20,-61.48
ARG,-36.3,-60
ARM,40.10,44.31
ABW,12.32,-70.02
AUS,-35.15,149.08
AUT,48.12,16.22
AZE,40.29,49.56
BHS,25.05,-77.2
BHR,26.10,50.30
BGD,23.43,90.26
BRB,13.05,-59.3
BLR,53.52,27.30
BEL,50.51,04.21
BLZ,17.18,-88.3
BEN,06.23,02.42
BTN,27.31,89.45
BOL,-16.2,-68.1
BIH,43.52,18.26
BWA,-24.45,25.57
BRA,-15.47,-47.55
VGB,18.27,-64.37
BRN,04.52,115.00
BGR,42.45,23.20
BFA,12.15,-1.3
BDI,-3.16,29.18
KHM,11.33,104.55
CMR,03.50,11.35
CAN,45.27,-75.42
CPV,15.02,-23.34
CYM,19.20,-81.24
CAF,04.23,18.35
TCD,12.10,14.59
CHL,-33.24,-70.4
CHN,39.55,116.20
COL,04.34,-74
COM,-11.4,43.16
COG,-4.09,15.12
CRI,09.55,-84.02
CIV,06.49,-5.17
HRV,45.50,15.58
CUB,23.08,-82.22
CYP,35.10,33.25
CZE,50.05,14.22
COD,-4.2,15.15
DNK,55.41,12.34
DJI,11.08,42.20
DMA,15.20,-61.24
DOM,18.30,-69.59
TLS,-8.29,125.34
ECU,-0.15,-78.35
EGY,30.01,31.14
SLV,13.40,-89.1
GNQ,03.45,08.50
ERI,15.19,38.55
EST,59.22,24.48
ETH,09.02,38.42
FLK,-51.4,-59.51
FRO,62.05,-6.56
FJI,-18.06,178.30
FIN,60.15,25.03
FRA,48.50,02.20
GUF,05.05,-52.18
PYF,-17.32,-149.34
GAB,00.25,09.26
GMB,13.28,-16.4
GEO,41.43,44.50
DEU,52.30,13.25
GHA,05.35,-0.06
GRC,37.58,23.46
GRL,64.10,-51.35
GLP,16.00,-61.44
GTM,14.40,-90.22
GGY,49.26,-2.33
GIN,09.29,-13.49
GNB,11.45,-15.45
GUY,06.50,-58.12
HTI,18.40,-72.2
HMD,-53,74.00
HND,14.05,-87.14
HUN,47.29,19.05
ISL,64.10,-21.57
IND,28.37,77.13
IDN,-6.09,106.49
IRN,35.44,51.30
IRQ,33.20,44.30
IRL,53.21,-6.15
ISR,31.71,-35.1
ITA,41.54,12.29
JAM,18.00,-76.5
JOR,31.57,35.52
KAZ,51.10,71.30
KEN,-1.17,36.48
KIR,01.30,173.00
KWT,29.30,48.00
KGZ,42.54,74.46
LAO,17.58,102.36
LVA,56.53,24.08
LBN,33.53,35.31
LSO,-29.18,27.30
LBR,06.18,-10.47
LBY,32.49,13.07
LIE,47.08,09.31
LTU,54.38,25.19
LUX,49.37,06.09
MAC,22.12,113.33
MDG,-18.55,47.31
MKD,42.01,21.26
MWI,-14,33.48
MYS,03.09,101.41
MDV,04.00,73.28
MLI,12.34,-7.55
MLT,35.54,14.31
MTQ,14.36,-61.02
MRT,-20.1,57.30
MYT,-12.48,45.14
MEX,19.20,-99.1
FSM,06.55,158.09
MDA,47.02,28.50
MOZ,-25.58,32.32
MMR,16.45,96.20
NAM,-22.35,17.04
NPL,27.45,85.20
NLD,52.23,04.54
ANT,12.05,-69
NCL,-22.17,166.30
NZL,-41.19,174.46
NIC,12.06,-86.2
NER,13.27,02.06
NGA,09.05,07.32
NFK,-45.2,168.43
PRK,39.09,125.30
MNP,15.12,145.45
NOR,59.55,10.45
OMN,23.37,58.36
PAK,33.40,73.10
PLW,07.20,134.28
PAN,09.00,-79.25
PNG,-9.24,147.08
PRY,-25.1,-57.3
PER,-12,-77
PHL,14.40,121.03
POL,52.13,21.00
PRT,38.42,-9.1
PRI,18.28,-66.07
QAT,25.15,51.35
KOR,37.31,126.58
ROU,44.27,26.10
RUS,55.45,37.35
RWA,-1.59,30.04
KNA,17.17,-62.43
LCA,14.02,-60.58
SPM,46.46,-56.12
VCT,13.10,-61.1
WSM,-13.5,-171.5
SMR,43.55,12.30
STP,00.10,06.39
SAU,24.41,46.42
SEN,14.34,-17.29
SLE,08.30,-13.17
SVK,48.10,17.07
SVN,46.04,14.33
SLB,-9.27,159.57
SOM,02.02,45.25
ZAF,-25.44,28.12
ESP,40.25,-3.45
SDN,15.31,32.35
SUR,05.50,-55.1
SWZ,-26.18,31.06
SWE,59.20,18.03
CHE,46.57,07.28
SYR,33.30,36.18
TJK,38.33,68.48
THA,13.45,100.35
TGO,06.09,01.20
TON,-21.1,-174
TUN,36.50,10.11
TUR,39.57,32.54
TKM,38.00,57.50
TUV,-8.31,179.13
UGA,00.20,32.30
UKR,50.30,30.28
ARE,24.28,54.22
GBR,51.36,-0.05
TZA,-6.08,35.45
USA,39.91,-77.02
VIR,18.21,-64.56
URY,-34.5,-56.11
UZB,41.20,69.10
VUT,-17.45,168.18
VEN,10.30,-66.55
VNM,21.05,105.55
YUG,44.50,20.37
ZMB,-15.28,28.16
ZWE,-17.43,31.02
AIA,18.25,-63.1667
ATA,-90,0
BMU,32.3333,-64.75
BVT,-54.4333,3.4
CCK,-12.5,96.8333
COK,-21.2333,-159.7667
CXR,-10.5,105.6667
ESH,24.5,-13
GRD,12.1167,-61.6667
GIB,36.1833,-5.3667
SGS,-54.5,-37
GUM,13.4667,144.7833
HKG,22.25,114.1667
IOT,-6,71.5
JPN,36,138
LKA,7,81
MAR,32,-5
MCO,43.7333,7.4
MNE,42,19
MHL,9,168
MNG,46,105
MSR,16.75,-62.2
MUS,-20.2833,57.55
NRU,-0.5333,166.9167
NIU,-19.0333,-169.8667
PSE,32,35.25
REU,-21.1,55.6
SRB,44,21
SYC,-4.5833,55.6667
SGP,1.3667,103.8
SHN,-15.9333,-5.7
SJM,78,20
TCA,21.75,-71.5833
ATF,-43,67
TKL,-9,-172
TTO,11,-61
TWN,23.5,121
UMI,19.2833,166.6
VAT,41.9,12.45
WLF,-13.3,-176.2
YEM,15,48
